axis_order,x,y,terrain_z,distance_along_axis_m,downstream_progress_m,provenance
20,335631.86291501013,3140691.86291501,2736.0095342858303,400.0,271.37541320555295,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
21,335625.0,3140674.7056274847,2738.4597256347306,420.0,283.93830634487244,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
22,335625.0,3140654.7056274847,2741.235494073311,440.0,302.0099804585908,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
23,335625.0,3140634.7056274847,2745.093404229561,460.0,320.0816545723092,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
24,335625.0,3140614.7056274847,2748.565107864854,480.0,338.1533286860276,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
25,335625.0,3140594.7056274847,2751.6574851701384,500.0,356.225002799746,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
26,335625.0,3140574.7056274847,2753.731866680555,520.0,374.29667691346435,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
27,335625.0,3140554.7056274847,2755.2001301477776,540.0,392.3683510271827,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
28,335625.20815280173,3140534.7918471983,2756.0778351182717,560.0,410.4512934844924,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
29,335639.35028842546,3140520.6497115744,2755.676634884024,580.0,429.2885515464812,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
30,335653.4924240492,3140506.507575951,2755.275434649777,600.0,448.12580960804917,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
31,335672.86796564405,3140505.0,2751.906415087017,620.0,457.7887371722439,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
32,335692.86796564405,3140505.0,2749.511501995545,640.0,466.3569688875724,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
33,335712.86796564405,3140505.0,2749.164659547628,660.0,474.9252006029009,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
34,335727.6345596729,3140492.365440327,2749.3051534016554,680.0,492.66776281602336,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
35,335741.77669529663,3140478.2233047034,2749.5037970058756,700.0,511.50502087801215,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
36,335755.91883092036,3140464.0811690795,2753.3755502597965,720.0,530.3422789400009,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
37,335770.0609665441,3140449.9390334557,2758.3316276227906,740.0,549.1795370019896,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
38,335784.2031021678,3140435.7968978323,2763.308076435896,760.0,568.0167950635577,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
39,335798.34523779154,3140421.6547622085,2768.295458005349,780.0,586.8540531255464,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
40,335812.48737341526,3140407.5126265846,2771.3419598108267,800.0,605.6913111875351,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
41,335826.62950903905,3140393.370490961,2772.6634116437667,820.0,624.5285692495488,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
42,335840.7716446628,3140379.2283553374,2773.163033507109,840.0,643.3658273111168,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
43,335854.9137802865,3140365.0862197136,2772.4707732061916,860.0,662.2030853731056,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
44,335869.0559159102,3140350.9440840897,2771.751645102939,880.0,681.0403434350943,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
45,335883.19805153395,3140336.801948466,2770.9657023606337,900.0,699.8776014970831,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
46,335897.3401871577,3140322.6598128425,2770.064921332515,920.0,718.7148595586511,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
47,335911.4823227814,3140308.5176772187,2768.584991954377,940.0,737.5521176206398,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
48,335925.62445840513,3140294.375541595,2767.1612018340647,960.0,756.3893756826286,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
49,335939.76659402886,3140280.233405971,2766.952660576332,980.0,775.2266337446174,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
50,335953.9087296526,3140266.0912703476,2766.744119318599,1000.0,794.0638918061853,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
51,335968.0508652763,3140251.9491347237,2764.519002710918,1020.0,812.9011498681741,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
52,335982.19300090004,3140237.8069991,2762.12526671777,1040.0,831.7384079301629,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
53,335996.3351365238,3140223.664863476,2759.3950188590725,1060.0,850.5756659921766,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
54,336010.47727214755,3140209.5227278527,2756.5814382145954,1080.0,869.4129240537445,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
55,336024.6194077713,3140195.380592229,2756.761866925745,1100.0,888.2501821157333,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
56,336038.761543395,3140181.238456605,2758.3499799585566,1120.0,907.0874401777221,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
57,336052.9036790187,3140167.096320981,2760.164114541431,1140.0,925.9246982397108,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
58,336067.04581464245,3140152.954185358,2762.1566503003314,1160.0,944.7619563012788,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
59,336081.1879502662,3140138.812049734,2763.0476120677545,1180.0,963.5992143632676,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
60,336095.3300858899,3140124.66991411,2762.522576075604,1200.0,982.4364724252563,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
61,336109.4722215136,3140110.5277784863,2763.0091399937046,1220.0,1001.2737304872451,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
62,336123.61435713735,3140096.3856428624,2765.6830025990607,1240.0,1020.1109885492339,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
63,336137.7564927611,3140082.243507239,2768.1766433388348,1260.0,1038.9482466108018,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
64,336151.8986283848,3140068.101371615,2769.9258809637136,1280.0,1057.7855046727907,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
65,336166.0407640086,3140053.9592359914,2771.3324660110325,1300.0,1076.6227627348044,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
66,336180.1828996323,3140039.8171003675,2768.425663281145,1320.0,1095.460020796793,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
67,336194.32503525604,3140025.674964744,2765.5188605512576,1340.0,1114.297278858361,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
68,336208.46717087977,3140011.5328291203,2762.6747468004,1360.0,1133.1345369203498,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
69,336222.6093065035,3139997.3906934964,2759.8337749752714,1380.0,1151.9717949823385,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
70,336236.7514421272,3139983.2485578726,2756.7811662570152,1400.0,1170.8090530443274,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
71,336250.89357775095,3139969.106422249,2753.6855024874258,1420.0,1189.6463111058954,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
72,336265.0357133747,3139954.9642866254,2750.785032036241,1440.0,1208.483569167884,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
73,336279.1778489984,3139940.8221510015,2747.9644309631094,1460.0,1227.3208272298727,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
74,336293.3199846221,3139926.6800153777,2745.619886301748,1480.0,1246.1580852918617,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
75,336307.46212024585,3139912.5378797543,2743.608475947777,1500.0,1264.9953433534295,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
76,336321.60425586964,3139898.3957441305,2741.3439776959385,1520.0,1283.8326014154434,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
77,336335.74639149336,3139884.2536085066,2738.79061326765,1540.0,1302.669859477432,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
78,336349.8885271171,3139870.111472883,2736.721685645225,1560.0,1321.5071175394207,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
79,336364.0306627408,3139855.9693372594,2735.5697599009386,1580.0,1340.3443756009888,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
80,336378.17279836454,3139841.8272016356,2734.517164847638,1600.0,1359.1816336629774,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
81,336392.31493398827,3139827.6850660117,2733.8079864645533,1620.0,1378.0188917249664,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
82,336406.457069612,3139813.542930388,2732.817793329397,1640.0,1396.856149786955,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
83,336420.5992052357,3139799.400794764,2729.381120869597,1660.0,1415.6934078489437,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
84,336434.74134085944,3139785.2586591407,2725.9444484097967,1680.0,1434.5306659105117,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
85,336448.88347648317,3139771.116523517,2720.848492619658,1700.0,1453.3679239725006,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
86,336463.0256121069,3139756.974387893,2715.721623189072,1720.0,1472.2051820344893,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
87,336477.1677477306,3139742.832252269,2709.7124732223533,1740.0,1491.042440096478,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
88,336491.3098833544,3139728.690116646,2703.5601608522543,1760.0,1509.879698158071,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
89,336505.45201897813,3139714.547981022,2699.265276366473,1780.0,1528.7169562200597,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
90,336519.59415460186,3139700.405845398,2695.6261623656396,1800.0,1547.5542142820484,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
91,336533.7362902256,3139686.2637097742,2689.453751706949,1820.0,1566.3914723440373,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
92,336547.8784258493,3139672.121574151,2681.7137866600156,1840.0,1585.2287304056053,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
93,336562.02056147304,3139657.979438527,2671.879136999754,1860.0,1604.065988467594,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
94,336576.16269709676,3139643.837302903,2659.9196641535623,1880.0,1622.9032465295827,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
95,336590.3048327205,3139629.6951672793,2649.0649330824153,1900.0,1641.7405045915716,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
96,336604.4469683442,3139615.553031656,2640.0505876012244,1920.0,1660.5777626531394,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
97,336618.58910396794,3139601.410896032,2631.443024761324,1940.0,1679.4150207151283,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
98,336632.73123959167,3139587.2687604083,2624.031523704219,1960.0,1698.252278777117,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
99,336646.8733752154,3139573.1266247844,2616.762660167585,1980.0,1717.089536839106,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
100,336661.0155108392,3139558.984489161,2610.427931741467,2000.0,1735.9267949006987,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
101,336675.1576464629,3139544.842353537,2604.070077215578,2020.0,1754.7640529626874,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
102,336689.29978208663,3139530.7002179134,2595.6607545775996,2040.0,1773.6013110246763,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
103,336703.44191771036,3139516.5580822895,2587.251431939621,2060.0,1792.438569086665,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
104,336717.5840533341,3139502.415946666,2575.491277391723,2080.0,1811.275827148233,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
105,336731.7261889578,3139488.2738110423,2563.3162428591445,2100.0,1830.1130852102217,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
106,336735.0,3139485.0,2560.497802734375,2104.6298679765187,1834.473786103632,"Local numerical valley axis derived from the accepted Copernicus terrain, anchored at the actual E4 front, without using the locally misaligned canonical corridor as a downstream target."
